brand,categories,features.value,manufacturer,name
Air Heads,"Grocery & Gourmet Food,Condiments & Salad Dressings,Mayonnaise","SUGAR ,CORN SYRUP,WHEAT FLOUR,HIGH FRUCTOSE CORN SYRUP,CORN STARCH,MODIFIED POTATO STARCH,WATER,MALIC ACID,CITRIC ACID,CONTAINS LESS THAN 2 OF GLYCERINE,CONTAINS LESS THAN 2 OF ARTIFICIAL FLAVORS,CONTAINS LESS THAN 2 OF POTASSIUM CITRATE ,CONTAINS LESS THAN 2 OF SALT ,CONTAINS LESS THAN 2 OF HYDROGENATED SOYBEAN OIL,CONTAINS LESS THAN 2 OF ARTIFICIAL COLOR,CONTAINS LESS THAN 2 OF BLUE 1,CONTAINS LESS THAN 2 OF RED 40,CONTAINS LESS THAN 2 OF YELLOW 5,CONTAINS LESS THAN 2 OF YELLOW 6 160 NameQuantityUnitDaily ValueTotal Fat0g0Sat Fat0g0Trans Fat0g0Cholest.0mg0Sodium15mg1Total Carb49g16Fiber0g0Sugars29g160Protein0g160,SUGAR,CORN SYRUP,WHEAT FLOUR,HIGH FRUCTOSE CORN SYRUP,CORN STARCH,MODIFIED POTATO STARCH,WATER,MALIC ACID,CITRIC ACID,CONTAINS LESS THAN 2 OF GLYCERINE,CONTAINS LESS THAN 2 OF ARTIFICIAL FLAVORS,CONTAINS LESS THAN 2 OF POTASSIUM CITRATE,CONTAINS LESS THAN 2 OF SALT,CONTAINS LESS THAN 2 OF HYDROGENATED SOYBEAN OIL,CONTAINS LESS THAN 2 OF ARTIFICIAL COLOR,CONTAINS LESS THAN 2 OF BLUE 1,CONTAINS LESS THAN 2 OF RED 40,CONTAINS LESS THAN 2 OF YELLOW 5,CONTAINS LESS THAN 2 OF YELLOW 6 160 NameQuantityUnitDaily ValueTotal Fat0g0Sat Fat0g0Trans Fat0g0Cholest.0mg0Sodium15mg1Total Carb49g16Fiber0g0Sugars29g160Protein0g160",,Air Heads Xtremes Rainbow Berry Sour Candy
Campbells,"Grocery & Gourmet Food,Condiments & Salad Dressings,Mayonnaise","Chicken Stock, Potatoes, Mushrooms, Chicken Meat, Vegetable Oil, Water, Cream, Contains Less than 2 of the Following Carrots, Bleached Enriched Wheat Flour (Bleached Flour, Niacin, Ferrous, Sulfate, Thiamine Mononitrate, Riboflavin, Folic Acid), Salt, Sauterne Wine, Potato Starch, Modified Food Starch, Yeast Extract, Soy Protein Isolate, Monosodium Glutamate, Chicken Fat, Dehydrated Parsley, Spice Extract, Sodium Phosphates, Spice, Chicken Flavor (Contains Chicken Stock, Chicken Powder, Chicken Fat), Beta Carotene for Color, Dehydrated Garlic, Citric Acid, Flavoring.,Chicken Stock,Potatoes,Mushrooms,Chicken Meat,Vegetable Oil,Water,Cream,Contains Less than 2 of the Following Carrots,Bleached Enriched Wheat Flour (Bleached Flour, Niacin, Ferrous, Sulfate, Thiamine Mononitrate, Riboflavin, Folic Acid),Salt,Sauterne Wine,Potato Starch,Modified Food Starch,Yeast Extract,Soy Protein Isolate,Monosodium Glutamate,Chicken Fat,Dehydrated Parsley,Spice Extract,Sodium Phosphates,Spice,Chicken Flavor (Contains Chicken Stock, Chicken Powder, Chicken Fat),Beta Carotene for Color,Dehydrated Garlic,Citric Acid,Flavoring.",,Campbells Chunky Soup New England Clam Chowder
Just The Basics,"Grocery & Gourmet Food,Condiments & Salad Dressings,Mayonnaise","California Pitted Prunes, Palm Oil (Adds a Trivial Amount of Fat). Potassium Sorbate Added as a Preservative.,California Pitted Prunes,Palm Oil (Adds a Trivial Amount of Fat),. Potassium Sorbate Added as a Preservative.",,Just The Basics Pitted Prunes
WhoNu?,"Grocery & Gourmet Food,Condiments & Salad Dressings,Mayonnaise","WHEAT FLOUR,SEMI-SWEET CHOCOLATE CHIPS (SUGAR CHOCOLATE DEXTROSE COCOA BUTTER SOY LECITHIN),GRANULATED SUGAR,SOYBEAN OIL WITH MONO AND DIGLYCERIDES,WHOLE WHEAT FLOUR,POLYDEXTROSE,CALCIUM CARBONATE,NATURAL FLAVORS,SOY LECITHIN,MODIFIED FOOD STARCH,COCOA,SALT,BAKING POWDER (SODIUM ACID PYROPHOSPHATE SODIUM BICARBONATE MONOCALCIUM PHOSPHATE),BAKING SODA,CONTAINS WHEAT,CONTAINS SOY,WHEAT FLOUR,SEMI-SWEET CHOCOLATE CHIPS (SUGAR CHOCOLATE DEXTROSE COCOA BUTTER SOY LECITHIN),GRANULATED SUGAR,SOYBEAN OIL WITH MONO AND DIGLYCERIDES,WHOLE WHEAT FLOUR,POLYDEXTROSE,CALCIUM CARBONATE,NATURAL FLAVORS,SOY LECITHIN,MODIFIED FOOD STARCH,COCOA,SALT,BAKING POWDER (SODIUM ACID PYROPHOSPHATE SODIUM BICARBONATE MONOCALCIUM PHOSPHATE),BAKING SODA,CONTAINS WHEAT,CONTAINS SOY",,WhoNu? Original Chocolate Chip Cookies
Sour Patch,"Grocery & Gourmet Food,Condiments & Salad Dressings,Mustard","Sugar, Invert Sugar, Corn Syrup, Modified Corn Starch, Tartaric Acid, Citric Acid, Natural and Artificial Flavoring, Yellow 6, Red 40, Yellow 5 and Blue 1.,Sugar,Invert Sugar,Corn Syrup,Modified Corn Starch,Tartaric Acid,Citric Acid,Natural and Artificial Flavoring,Yellow 6,Red 40,Yellow 5 and Blue 1.",,Sour Patch Kids Candy
Gold Emblem Abound,"Grocery & Gourmet Food,Condiments & Salad Dressings,Mustard,Dijon Mustard,Grocery","Dry Roasted Almonds, Pure Cane Sugar, Dry Roasted Cashews, Dry Roasted Pecans, Dry Roasted Pistachios, Dried Sweetened Cranberries (cranberries, Sugar, Sunflower Oil), Brown Rice Syrup, Dried Sweetened Red Cherries (cherries, Sugar, Sunflower Oil), Sea Salt, Inulin (chicory Root Fiber), Natural Flavor.,Dry Roasted Almonds,Pure Cane Sugar,Dry Roasted Cashews,Dry Roasted Pecans,Dry Roasted Pistachios,Dried Sweetened Cranberries (cranberries, Sugar, Sunflower Oil),Brown Rice Syrup,Dried Sweetened Red Cherries (cherries, Sugar, Sunflower Oil),Sea Salt,Inulin (chicory Root Fiber),Natural Flavor.",,CVS Gold Emblem Abound Berries Nut Clusters
Annies,"Grocery & Gourmet Food,Condiments & Salad Dressings,Mustard,Yellow Mustard","ORGANIC TOASTED WHOLE OATS (ORGANIC WHOLE OATS ORGANIC CANE SYRUP ORGANIC EXPELLER PRESSED SUNFLOWER OIL),ORGANIC BROWN RICE SYRUP,ORGANIC CHOCOLATE CHIPS (ORGANIC CANE SUGAR ORGANIC CHOCOLATE LIQUOR ORGANIC COCOA BUTTER ORGANIC VANILLA),ORGANIC RICE CRISP (ORGANIC RICE FLOUR),ORGANIC PALM OIL,NATURAL VANILLA FLAVOR,ORGANIC OAT FLOUR,ORGANIC TOASTED WHOLE OATS (ORGANIC WHOLE OATS ORGANIC CANE SYRUP ORGANIC EXPELLER PRESSED SUNFLOWER OIL),ORGANIC BROWN RICE SYRUP,ORGANIC CHOCOLATE CHIPS (ORGANIC CANE SUGAR ORGANIC CHOCOLATE LIQUOR ORGANIC COCOA BUTTER ORGANIC VANILLA),ORGANIC RICE CRISP (ORGANIC RICE FLOUR),ORGANIC PALM OIL,NATURAL VANILLA FLAVOR,ORGANIC OAT FLOUR",,"Annies Organic Chocolate Chipper Chewy Yet Crispy Granola Bars, 7 Bars"
Sahale Snacks,"Grocery & Gourmet Food,Condiments & Salad Dressings,Salad Dressings,French,Food","Ingredients Almonds, Dried Apples (Apples, Sugar, Natural Lemon Flavor, Lemon Juice Concentrate, Citric Acid), Toasted Coconut, Dried Blueberries (Blueberries, Sugar), Cashews, Sunflower Oil, Sea Salt. Percent Daily Values are based on a 2,000 calorie diet.Nutrition FactsServing Size 1,Ingredients Almonds,Dried Apples (Apples, Sugar, Natural Lemon Flavor, Lemon Juice Concentrate, Citric Acid),Toasted Coconut,Dried Blueberries (Blueberries, Sugar),Cashews,Sunflower Oil,Sea Salt. Percent Daily Values are based on a 2,000 calorie diet.Nutrition FactsServing Size 1",,"Sahale Snacks Berry Macaroon Almond Mix 7 OZ, 4 Packs"
Progresso,"Grocery & Gourmet Food,Condiments & Salad Dressings,Salad Dressings,Vinaigrette,Food,Grocery,Balsamic","Clam Broth, Potatoes, Clams, Soybean Oil, Water, Modified Food Starch, Onions, Contains Less than 1 of Soy Protein Concentrate, Sugar, Salt, Cream, Butter, Sodium Phosphate, Potassium Chloride, Artificial Color, DATEM, Natural Flavor, Parsley (Dried), Celery (Dried), Yeast Extract, Spice.,Clam Broth,Potatoes,Clams,Soybean Oil,Water,Modified Food Starch,Onions,Contains Less than 1 of Soy Protein Concentrate,Sugar,Salt,Cream,Butter,Sodium Phosphate,Potassium Chloride,Artificial Color,DATEM,Natural Flavor,Parsley (Dried),Celery (Dried),Yeast Extract,Spice.",,Progresso New England Clam Chowder Soup
WhoNu?,"Grocery & Gourmet Food,Condiments & Salad Dressings,Salad Dressings,Vinaigrette,Grocery","WHEAT FLOUR,SEMI-SWEET CHOCOLATE CHIPS (SUGAR CHOCOLATE DEXTROSE COCOA BUTTER SOY LECITHIN),HIGH FRUCTOSE CORN SYRUP,SOYBEAN OIL WITH MONO AND DIGLYCERIDES,POLYDEXTROSE,OAT FIBER,SUGAR,CORN SYRUP,CORN STARCH,GLYCERIN,NATURAL AND ARTIFICIAL FLAVORS,BAKING SODA,SOY LECITHIN,MOLASSES,SALT,ENZYMES,ANNATTO,VITAMINS AND MINERALS CALCIUM CARBONATE,VITAMINS AND MINERALS VITAMIN C (ascorbic acid),VITAMINS AND MINERALS IRON ORTHOPHOSPHATE,VITAMINS AND MINERALS ZINC OXIDE,VITAMINS AND MINERALS COPPER OXIDE,VITAMINS AND MINERALS MANGANESE GLUCONATE,VITAMINS AND MINERALS IODINE,VITAMINS AND MINERALS VITAMIN E (tocopherol acetate),VITAMINS AND MINERALS VITAMIN A (palmitate),VITAMINS AND MINERALS BIOTIN,VITAMINS AND MINERALS VITAMIN B3 (niacin),VITAMINS AND MINERALS VITAMIN B5 (pantothenic acid),VITAMINS AND MINERALS VITAMIN D3,VITAMINS AND MINERALS VITAMIN B1 (thiamin mononitrate),VITAMINS AND MINERALS VITAMIN B6,VITAMINS AND MINERALS VITAMIN B2,VITAMINS AND MINERALS VITAMIN B12,CONTAINS WHEAT,CONTAINS SOY,WHEAT FLOUR,SEMI-SWEET CHOCOLATE CHIPS (SUGAR CHOCOLATE DEXTROSE COCOA BUTTER SOY LECITHIN),HIGH FRUCTOSE CORN SYRUP,SOYBEAN OIL WITH MONO AND DIGLYCERIDES,POLYDEXTROSE,OAT FIBER,SUGAR,CORN SYRUP,CORN STARCH,GLYCERIN,NATURAL AND ARTIFICIAL FLAVORS,BAKING SODA,SOY LECITHIN,MOLASSES,SALT,ENZYMES,ANNATTO,VITAMINS AND MINERALS CALCIUM CARBONATE,VITAMINS AND MINERALS VITAMIN C (ascorbic acid),VITAMINS AND MINERALS IRON ORTHOPHOSPHATE,VITAMINS AND MINERALS ZINC OXIDE,VITAMINS AND MINERALS COPPER OXIDE,VITAMINS AND MINERALS MANGANESE GLUCONATE,VITAMINS AND MINERALS IODINE,VITAMINS AND MINERALS VITAMIN E (tocopherol acetate),VITAMINS AND MINERALS VITAMIN A (palmitate),VITAMINS AND MINERALS BIOTIN,VITAMINS AND MINERALS VITAMIN B3 (niacin),VITAMINS AND MINERALS VITAMIN B5 (pantothenic acid),VITAMINS AND MINERALS VITAMIN D3,VITAMINS AND MINERALS VITAMIN B1 (thiamin mononitrate),VITAMINS AND MINERALS VITAMIN B6,VITAMINS AND MINERALS VITAMIN B2,VITAMINS AND MINERALS VITAMIN B12,CONTAINS WHEAT,CONTAINS SOY",,WhoNu? WhoKnew Smart Cookies Soft Chewy Chocolate Chip Cookies
Roland,"Grocery & Gourmet Food,Condiments & Salad Dressings,Sandwich Spreads,Grocery",Ingredients,,"Roland Pineapple Slices in Natural Juice 105.82 OZ, 6 Packs"
Twizzler,"Grocery & Gourmet Food,Cooking & Baking","Corn Syrup, Enriched Wheat Flour (Flour, Niacin, Ferrous Sulfate, Thiamin, Mononitrate, Riboflavin, and Folic Acid), Sugar, Cornstarch, Contains 2 or Less of Palm Oil, Salt, Artificial Flavor, Mono- and Diglycerides, Citric Acid, Potassium Sorbate (Preservative), Artificial Color (Red 40), Sulfur Dioxide, to Maintain Freshness, Mineral Oil, Soy Lecithin, Glycerin.,Corn Syrup,Enriched Wheat Flour (Flour, Niacin, Ferrous Sulfate, Thiamin, Mononitrate, Riboflavin, and Folic Acid),Sugar,Cornstarch,Contains 2 or Less of Palm Oil,Salt,Artificial Flavor,Mono- and Diglycerides,Citric Acid,Potassium Sorbate (Preservative),Artificial Color (Red 40),Sulfur Dioxide,to Maintain Freshness,Mineral Oil,Soy Lecithin,Glycerin.",,Twizzler Strawberry Twists
Chips Ahoy,"Grocery & Gourmet Food,Cooking & Baking","Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate,Enriched Flour",,Chips Ahoy Chunky Real Chocolate Chunk Cookies
Campbells,"Grocery & Gourmet Food,Cooking & Baking","Water, Chicken Stock, Carrots, White Chicken Meat, Enriched Egg Noodles (Wheat Flour, Egg Whites, Eggs, Niacin, Ferrous Sulfate, Thiamine Mononitrate, Riboflavin, Folic Acid), Celery, Contains Less than 2 of Chicken Fat, Modified Food Starch, Salt, Monosodium Glutamate, Sugar, Carrageenan, Potato Starch, Canola Oil, Spice, Beta Carotene for Color, Flavoring, Disodium Guanylate, Disodium Inosinate.,Water,Chicken Stock,Carrots,White Chicken Meat,Enriched Egg Noodles (Wheat Flour, Egg Whites, Eggs, Niacin, Ferrous Sulfate, Thiamine Mononitrate, Riboflavin, Folic Acid),Celery,Contains Less than 2 of Chicken Fat,Modified Food Starch,Salt,Monosodium Glutamate,Sugar,Carrageenan,Potato Starch,Canola Oil,Spice,Beta Carotene for Color,Flavoring,Disodium Guanylate,Disodium Inosinate.",,Campbells Chunky Classic Chicken Noodle Soup
Oreo,"Grocery & Gourmet Food,Cooking & Baking","Ingredients Unbleached Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate,Ingredients Unbleached Enriched Flour",,"Oreo Nabisco Oreo Chocolate Sandwich Cookies, 52.8 OZ"
Emerald,"Grocery & Gourmet Food,Cooking & Baking","ROASTED CASHEW HALVES AND PIECES (CASHEWS PEANUT OIL,ROASTED CASHEW HALVES AND PIECES",,Emerald Cashew Halves Pieces
FreshPak,"Grocery & Gourmet Food,Cooking & Baking","ROASTED IN-SHELL PEANUTS ,SALT,ROASTED IN-SHELL PEANUTS,SALT",,FreshPak Salted Peanuts
Progresso,"Grocery & Gourmet Food,Cooking & Baking","Vegetarian Water, Tomato Paste, Carrots, Celery, Light Red Kidney Beans, Potatoes, Green Beans, Peas (Dried), Penne Rigate Pasta (Wheat Flour, Semolina Wheat, Egg Whites,Vegetarian Water,Tomato Paste,Carrots,Celery,Light Red Kidney Beans,Potatoes,Green Beans,Peas (Dried),Penne Rigate Pasta",,Progresso Minestrone Soup
Campbells,"Grocery & Gourmet Food,Cooking & Baking","Water, Beef Stock, Carrots, Potatoes, Seasoned Beef (Contains Up to 10 of a Solution of Water, Salt, Sodium Phosphate), Tomato Puree (Water, Tomato Paste), Celery, Peas, Contains Less than 2 of Modified Food Starch, Vegetable Oil, Wheat Flour, Salt, Yeast Extract, Caramel Color, Hydrolyzed Soy Protein, Flavoring.,Water,Beef Stock,Carrots,Potatoes,Seasoned Beef (Contains Up to 10 of a Solution of Water, Salt, Sodium Phosphate),Tomato Puree (Water, Tomato Paste),Celery,Peas,Contains Less than 2 of Modified Food Starch,Vegetable Oil,Wheat Flour,Salt,Yeast Extract,Caramel Color,Hydrolyzed Soy Protein,Flavoring.",,Campbells Chunky Soup Beef With Country Vegetables
CVS Gold Emblem,"Grocery & Gourmet Food,Cooking & Baking","160Sugar, Glucose Syrup, Water, Pectin, Citric Acid, Sodium Citrate, Natural Flavors, Black Carrot Juice Concentrate, Spirulina Extract, Beta-carotene (color),160Sugar,Glucose Syrup,Water,Pectin,Citric Acid,Sodium Citrate,Natural Flavors,Black Carrot Juice Concentrate,Spirulina Extract,Beta-carotene (color)",,Gold Emblem Fruit Cubes Jelly Candy
CVS Gold Emblem,"Grocery & Gourmet Food,Cooking & Baking","Raisins (Coated With Partially Hydrogenated Cottonseed and Soybean Oil), Butter, Brown Sugar, Enriched Bleached Flour (Bleached Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Rolled Oats, Oat Bran, Eggs, Leavening (Baking Soda, Corn and,Raisins (Coated With Partially Hydrogenated Cottonseed and Soybean Oil),Butter,Brown Sugar,Enriched Bleached Flour (Bleached Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid),Rolled Oats,Oat Bran,Eggs,Leavening",,CVS Gold Emblem Oatmeal Raisin Cookies
Starburst,"Grocery & Gourmet Food,Cooking & Baking,Baking Mixes","Sugar, Corn Syrup, Food Starch-Modified, Apple Juice Form Concentrate, Less Than 1 - Citric Acid, Gum Acacia, Artificial And Natural Flavors, Coloring (Includes Yellow 5, Red 40, Yellow 6, Blue 1), Confectionery Glaze.,Sugar,Corn Syrup,Food Starch-Modified,Apple Juice Form Concentrate,Less Than 1 - Citric Acid,Gum Acacia,Artificial And Natural Flavors,Coloring (Includes Yellow 5, Red 40, Yellow 6, Blue 1),Confectionery Glaze.",,"Starburst Original Jellybeans Candy Bag, 14 OZ"
Wrigley,"Grocery & Gourmet Food,Cooking & Baking,Baking Mixes","Starburst Original Corn Syrup, Sugar, Hydrogenated Plam Kernel Oil, Fruit Juice From Concentrate (Apple, Lemon, Strawberry, Orange, Cherry), Less Than 2 - Citric Acid, Tapioca Dextrin, Gelatin, Modified Corn Starch, Natural And Artificial Flavors, Ascorbic Acid (Vitamin C), Coloring (Red 40, Yellow 5, Yellow 6, Blue 1). Gluten Free.Skittles Original Sugar, Corn Syrup, Hydrongenated Palm Kernel Oil Less Than 2 Of Citirc Acid, Tapioca Dextrin, Modified Corn Starch, Natural And Artificial Flavors, Colors (Red 40 Lake, Titanium Dioxide, Red 40, Yellow 5 Lake, Yellow 5, Yellow 6 Lake, Yellow 6, Blue 2 Lake, Blue 1, Blue 1 Lake), Sodium Citrate, Carnauba Wax. Gluten Free, Gelatin Free.,Starburst Original Corn Syrup,Sugar,Hydrogenated Plam Kernel Oil,Fruit Juice From Concentrate (Apple, Lemon, Strawberry, Orange, Cherry),Less Than 2 - Citric Acid,Tapioca Dextrin,Gelatin,Modified Corn Starch,Natural And Artificial Flavors,Ascorbic Acid (Vitamin C),Coloring (Red 40, Yellow 5, Yellow 6, Blue 1),. Gluten Free.Skittles Original Sugar,Corn Syrup,Hydrongenated Palm Kernel Oil Less Than 2 Of Citirc Acid,Colors (Red 40 Lake, Titanium Dioxide, Red 40, Yellow 5 Lake, Yellow 5, Yellow 6 Lake, Yellow 6, Blue 2 Lake, Blue 1, Blue 1 Lake),Sodium Citrate,Carnauba Wax. Gluten Free,Gelatin Free.",,"Skittles and Starburst Original Halloween Candy Bag, 90 Fun Size Pieces, 39.1 OZ"
Nabisco,"Grocery & Gourmet Food,Cooking & Baking,Baking Mixes",ingredients,,Nabisco Ritz Bits Cheese Sandwich Crackers Big Bag
Gold Emblem Abound,"Grocery & Gourmet Food,Cooking & Baking,Baking Mixes",Walnuts.,,CVS Gold Emblem Abound Walnut Halves Pieces
Oreo,"Grocery & Gourmet Food,Cooking & Baking,Baking Mixes,Baking,Food","Ingredients Unbleached Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Sugar, Pal And Or,Ingredients Unbleached Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid),Sugar,Pal And Or",,"Oreo Nabisco Oreo Chocolate Sandwich Cookies, 30CT"
Kashi,"Grocery & Gourmet Food,Cooking & Baking,Baking Mixes,Breads,Grocery","Peanuts, Invert Cane Syrup, Tapioca Syrup, Pea Crisps (Pea Protein Rice Starch), Whole Grain Oats, Semisweet Chocolate Chunks (Dried Cane Syrup Chocolate Liquor Cocoa Butter Sunflower Lecithin Salt), Almonds, Peanut Flour, Vegetable Glycerin, Sunflower Seeds, Cashew, Chocolate Liquor, Almond Flour, Chia Seeds, Millet, Buckwheat, Cocoa Powder, Acacia Gum, Salt, Vanilla Extract, Rosemary Extract For Freshness, Contains Peanut, Contains Almond And Cashew Ingredients, May Contain Other Tree Nuts,Peanuts,Invert Cane Syrup,Tapioca Syrup,Pea Crisps (Pea Protein Rice Starch),Whole Grain Oats,Semisweet Chocolate Chunks (Dried Cane Syrup Chocolate Liquor Cocoa Butter Sunflower Lecithin Salt),Almonds,Peanut Flour,Vegetable Glycerin,Sunflower Seeds,Cashew,Chocolate Liquor,Almond Flour,Chia Seeds,Millet,Buckwheat,Cocoa Powder,Acacia Gum,Salt,Vanilla Extract,Rosemary Extract For Freshness,Contains Peanut,Contains Almond And Cashew Ingredients,May Contain Other Tree Nuts",,"Kashi Go Lean Bar, Salted Dark Chocolate"
Second Nature,"Grocery & Gourmet Food,Cooking & Baking,Baking Mixes,Breads,Grocery,Food,Baking","Ingredients Almonds, Cashews, Raisins.Nutrition FactsServing Size 1 PackageServings Per Container 16NutrientAmount per ServingDaily ValueCalories200160Calories from Fat110160Total Fat12g18Saturated Fat1.5g8Trans Fat0160Cholesterol00Sodium00Total Carbohydrates20g7Dietary Fiber3g12Sugar11g160Protein6g160Vitamin A1600Vitamin C1600Calcium1604Iron16010,Ingredients Almonds,Cashews,Raisins.Nutrition FactsServing Size 1 PackageServings Per Container 16NutrientAmount per ServingDaily ValueCalories200160Calories from Fat110160Total Fat12g18Saturated Fat1.5g8Trans Fat0160Cholesterol00Sodium00Total Carbohydrates20g7Dietary Fiber3g12Sugar11g160Protein6g160Vitamin A1600Vitamin C1600Calcium1604Iron16010",,"Second Nature Naked Medley Bag, 16CT"
Gold Emblem Abound,"Grocery & Gourmet Food,Cooking & Baking,Baking Mixes,Brownies","Oats, Inulin, Agave Syrup, Soy Crisp Nuggets, Almonds, Mangos, Tapioca Syrup, Cranberries, Pumpkin Seeds, Raspberry Nuggets, Puffed Millet, Sea Salt, Agar, Sunflower Oil Blend (mixed Tocopherols, Rosemary Extract).,Oats,Inulin,Agave Syrup,Soy Crisp Nuggets,Almonds,Mangos,Tapioca Syrup,Cranberries,Pumpkin Seeds,Raspberry Nuggets,Puffed Millet,Sea Salt,Agar,Sunflower Oil Blend (mixed Tocopherols, Rosemary Extract),.",,"Gold Emblem Abound Mango Raspberry Snack Bars, 5CT"
Hunt's,"Grocery & Gourmet Food,Cooking & Baking,Baking Mixes,Cakes,Baking,Food","Tomato Puree (Water,Tomato Paste),Water,less than 2% of: Salt,Soybean Oil,Carrot Fiber,Dried Garlic,Citric Acid,Spices,Natural Flavors,Sugar.",,Hunt's Classic Italian Garlic Herb Spaghetti Sauce 26 Oz
Barilla,"Grocery & Gourmet Food,Cooking & Baking,Baking Mixes,Cookies,Baking,Food",Contains wheat ingredients. The pasta product is manufactured on equipment that processes products containing eggs.,,Barilla174 Spicy Penne Marinara 9oz
Betty Crocker,"Grocery & Gourmet Food,Cooking & Baking,Baking Mixes,Cookies,Grocery","Sugar,Wheat Flour Bleached,Egg White,Corn Starch,Baking Soda,Citric Acid,Calcium Chloride,Enzyme Modified Soy Protein,Salt,Cellulose Gum,Artificial Flavor,Sodium Lauryl Sulfate (a Whipping Aid).,Sugar, Wheat Flour Bleached, Egg White, Corn Starch, Baking Soda, Citric Acid, Calcium Chloride, Enzyme Modified Soy Protein, Salt, Cellulose Gum, Artificial Flavor, Sodium Lauryl Sulfate (a whipping aid).,Sodium Lauryl Sulfate (a whipping aid),.",,Betty Crocker Angel Food White Cake Mix - 16oz
Bob's Red Mill,"Grocery & Gourmet Food,Cooking & Baking,Baking Mixes,Food,Baking",Organic Whole Ground Flaxseed.,,Bob's Red Mill Organic Brown Flaxseed Meal
Ener-G Foods,"Grocery & Gourmet Food,Cooking & Baking,Baking Mixes,Grocery","Potato Flour,Corn Starch,Rice Flour,Palm Oil,Corn Glucose,Modified Corn Starch,Ener-g Baking Powder (Sodium Pyrophosphate, Sodium Bicarbonate, Potato Starch, Monocalcium Phosphate),Cellulose Gum,Bamboo Fiber,Sesame Seeds,Yeast,Gum Arabic,Salt.",,ENER-G FOODS | Pretzel-Wylde Sesame - 8oz [Gluten Free] [1 Pack]
Mom's Place Gluten Free,"Grocery & Gourmet Food,Cooking & Baking,Baking Mixes,grocery","White rice flour,potato starch,tapioca flour,xanthan gum.",,Mom's Best All Purpose Flour Blend 2 Lbs
Hodgson Mill,"Grocery & Gourmet Food,Cooking & Baking,Baking Mixes,Grocery",100% Durum Whole Wheat Flour,,Hodgson Mill Whole Wheat Thin Spaghetti
Cachet,"Grocery & Gourmet Food,Cooking & Baking,Baking Mixes,Muffins,Fruit Butters","Cocoa mass,sugar,blackberry granules 3.5% (inulin, natural flavoring blackberry type, blackberry powder 2%),cocoa butter,butter oil,ginger granules 1.5% (inulin, natural ginger flavoring with other natural flavorings),emulsifier: soy lecithin. Dark chocolate: Cocoa solids minimum 57%.",,Cachet Dark Chocolate with Blackberry & Ginger
Destrooper,"Grocery & Gourmet Food,Cooking & Baking,Baking Mixes,Pancakes & Waffles,grocery","wheat flour,30% syrup (glucosesyrup, fructose syrup, margarine),vegetable fats and oils,water,salt,emulsifier,soy,lecithins,acid ulants,flavor color e160a,vitamin a,vitamin d3,sugar,egg,flour,caramel,baking powder",,Stroopwafels - 24 Dutch Syrup Wafel Cookies
Woodland Ingredients,"Grocery & Gourmet Food,Cooking & Baking,Baking Mixes,Pancakes & Waffles,grocery","Durum semolina flour,corn flour,black bean powder,wheat protein isolate,red chili pepper powder,red jalapeno powder,dehydrated egg whites,garlic powder,onion powder,turmeric spice,salt,cumin,cuttlefish ink,safflower. (Contains wheat & eggs),.",,Orzo
Sezme,"Grocery & Gourmet Food,Cooking & Baking,Breadcrumbs & Seasoned Coatings,Seasoned Coatings","Sesame Seeds,Sugar,Glucose.",,Sezme Sesame Snaps
Kauffman's Fruit Farm,"Grocery & Gourmet Food,Cooking & Baking,Breadcrumbs & Seasoned Coatings,Seasoned Coatings,Food,Grocery",100% regular rolled oats #5. **May contains traces of Wheat and/or Barley.,,Bulk Old-Fashioned Non-GMO Rolled Oats
Afrofood,"Grocery & Gourmet Food,Cooking & Baking,Coconut Flakes",Green Plantains,,Plantain Fufu Flour (Pack of 3) 6lbs
Late July,"Grocery & Gourmet Food,Cooking & Baking,Coconut Flakes","Organic Wheat Flour,Organic Evaporated Cane Juice,Organic Oleic Safflower Oil and/or Organic Oleic Sunflower Oil,Organic Palm Oil,Sea Salt,Leavening",,Late July Organic Classic Rich Crackers
Bookbinder's,"Grocery & Gourmet Food,Cooking & Baking,Coconut Flakes,grocery","Water,Clams,Potatoes,Bell Peppers,Carrots,Tomato Paste,Celery,Bleached Wheat Flour,Modified Corn Starch,Worcestershire Sauce (Vinegar, Water, Molasses, Sugar, Salt, Hydrolyzed Plant Protein, Caramel Colors, Spices, Garlic, Onion, Celery, Anchovies, Tamarind),Onions,Yeast Extract,Spices,Oleoresin Paprika.",,Bookbinders Manhattan Clam Chowder
Black Tie Mercantile,"Grocery & Gourmet Food,Cooking & Baking,Cooking Oils, Vinegars & Sprays,Vinegars,Balsamic,Food,Vinegar,Grocery","wheat flour,syrup (glucosesyrup, sugar, lecithin),butter,glucosesyrup,sugar,eggs,lupineflour,salt,baking powder,cinnamon",,Verweij 100% Butter Stroopwafels
